Id,LotArea,OverallQual,YearBuilt,1terQual,HeatingQC,GrLivArea,KitchenQual,TotRmsAbvGrd,GarageArea,SalePrice
1,8450,2,2003,2,1,1710,2,8,548,208500
2,9600,2,1976,3,1,1262,3,6,460,181500
3,11250,2,2001,2,1,1786,2,6,608,223500
4,9550,2,1915,3,2,1717,2,7,642,140000
5,14260,2,2000,2,1,2198,2,9,836,250000
6,14115,1,1993,3,1,1362,3,5,480,143000
7,10084,2,2004,2,1,1694,2,7,636,307000
8,10382,2,1973,3,1,2090,3,7,484,200000
9,6120,2,1931,3,2,1774,3,8,468,129900
10,7420,1,1939,3,1,1077,3,5,205,118000
11,11200,1,1965,3,1,1040,3,5,384,129500
12,11924,2,2005,1,1,2324,1,11,736,345000
13,12968,1,1962,3,3,912,3,4,352,144000
14,10652,2,2006,2,1,1494,2,7,840,279500
15,10920,2,1960,3,3,1253,3,5,352,157000
16,6120,2,1929,3,1,854,3,5,576,132000
17,11241,2,1970,3,1,1004,3,5,480,149000
18,10791,1,1967,3,3,1296,3,6,516,90000
19,13695,1,2004,3,1,1114,2,6,576,159000
20,7560,1,1958,3,3,1339,3,6,294,139000
21,14215,2,2005,2,1,2376,2,9,853,325300
22,7449,2,1930,3,1,1108,2,6,280,139400
23,9742,2,2002,2,1,1795,2,7,534,230000
24,4224,1,1976,3,3,1060,3,6,572,129900
25,8246,1,1968,3,1,1060,2,6,270,154000
26,14230,2,2007,2,1,1600,2,7,890,256300
27,7200,1,1951,3,3,900,2,5,576,134800
28,11478,2,2007,2,1,1704,2,7,772,306000
29,16321,1,1957,3,3,1600,3,6,319,207500
30,6324,1,1927,3,4,520,4,4,240,68500
31,8500,1,1920,3,3,1317,3,6,250,40000
32,8544,1,1966,3,2,1228,2,6,271,149350
33,11049,2,2007,2,1,1234,2,7,484,179900
34,10552,1,1959,3,2,1700,2,6,447,165500
35,7313,2,2005,1,1,1561,1,6,556,277500
36,13418,2,2004,2,1,2452,2,9,691,309000
37,10859,1,1994,3,1,1097,3,6,672,145000
38,8532,1,1954,3,2,1297,3,5,498,153000
39,7922,1,1953,3,3,1057,2,5,246,109000
40,6040,1,1955,3,3,1152,4,6,0,82000
41,8658,2,1965,3,1,1324,3,6,440,160000
42,16905,1,1959,3,2,1328,3,5,308,170000
43,9180,1,1983,3,2,884,2,5,504,144000
44,9200,1,1975,3,3,938,3,5,308,130250
45,7945,1,1959,3,1,1150,3,6,300,141000
46,7658,2,2005,1,1,1752,1,6,576,319900
47,12822,2,2003,2,1,2149,2,6,670,239686
48,11096,2,2006,2,1,1656,2,7,826,249700
49,4456,1,1920,3,2,1452,3,8,0,113000
50,7742,1,1966,3,1,955,3,6,386,127000
51,13869,2,1997,3,2,1470,3,6,388,177000
52,6240,2,1934,3,3,1176,3,6,528,114500
53,8472,1,1963,4,3,816,3,5,516,110000
54,50271,2,1981,2,2,1842,2,5,894,385000
55,7134,1,1955,3,3,1360,3,6,572,130000
56,10175,2,1964,3,2,1425,3,7,576,180500
57,2645,2,1999,2,1,1739,2,7,480,172500
58,11645,2,2004,2,1,1720,2,7,565,196500
59,13682,2,2006,1,1,2945,2,10,641,438780
60,7200,1,1972,3,1,780,3,4,352,124900
61,13072,2,2004,3,1,1158,2,5,576,158000
62,7200,1,1920,3,3,1111,4,6,288,101000
63,6442,2,2006,2,1,1370,2,6,484,202500
64,10300,2,1921,3,2,1710,3,9,480,140000
65,9375,2,1997,3,1,2034,2,8,645,219500
66,9591,2,2004,2,1,2473,2,9,852,317000
67,19900,2,1970,3,3,2207,3,7,576,180000
68,10665,2,2003,2,1,1479,2,7,558,226000
69,4608,1,1945,3,3,747,3,4,220,80000
70,15593,2,1953,2,3,2287,3,7,667,225000
71,13651,2,1973,3,1,2223,3,8,516,244000
72,7599,1,1982,3,3,845,3,4,360,129500
73,10141,2,1998,3,2,1718,3,7,427,185000
74,10200,1,1954,3,2,1086,3,6,490,144900
75,5790,1,1915,2,2,1605,3,8,379,107400
76,1596,1,1973,3,3,988,3,5,297,91000
77,8475,1,1956,3,1,952,3,4,283,135750
78,8635,1,1948,3,3,1285,3,6,240,127000
79,10778,1,1968,3,3,1768,3,8,0,136500
80,10440,1,1910,3,2,1230,3,5,440,110000
81,13000,2,1968,3,3,2142,2,8,509,193500
82,4500,2,1998,3,1,1337,3,5,405,153500
83,10206,2,2007,3,1,1563,2,6,758,245000
84,8892,1,1960,3,2,1065,3,6,461,126500
85,8530,2,1995,3,2,1474,3,7,400,168500
86,16059,2,1991,2,1,2417,2,9,462,260000
87,11911,2,2005,2,1,1560,2,6,400,174000
88,3951,2,2009,2,1,1224,2,4,528,164500
89,8470,1,1915,4,3,1526,4,6,0,85000
90,8070,1,1994,3,1,990,3,5,0,123600
91,7200,1,1950,3,3,1040,3,4,420,109900
92,8500,1,1961,3,3,1235,3,6,480,98600
93,13360,1,1921,3,1,964,3,5,432,163500
94,7200,2,1910,3,1,2291,3,9,506,133900
95,9337,2,1997,3,1,1786,2,7,684,204750
96,9765,2,1993,1,2,1470,3,6,420,185000
97,10264,2,1999,2,1,1588,2,6,472,214000
98,10921,1,1965,3,3,960,3,6,432,94750
99,10625,1,1920,3,4,835,3,5,366,83000
100,9320,1,1959,3,4,1225,3,6,0,128950
101,10603,2,1977,3,2,1610,2,6,480,205000
102,9206,2,1985,2,3,1732,2,7,476,178000
103,7018,1,1979,3,3,1535,3,8,410,118964
104,10402,2,2009,3,1,1226,2,6,740,198900
105,7758,2,1931,3,1,1818,3,7,240,169500
106,9375,2,2003,2,1,1992,2,9,648,250000
107,10800,1,1885,3,2,1047,3,6,273,100000
108,6000,1,1948,3,1,789,3,5,250,115000
109,8500,1,1919,3,3,1517,4,7,0,115000
110,11751,2,1977,3,1,1844,3,7,546,190000
111,9525,2,1954,3,2,1855,3,7,325,136900
112,7750,2,2000,3,1,1430,3,7,400,180000
113,9965,2,2007,2,1,2696,1,10,792,383970
114,21000,2,1953,3,3,2259,2,7,450,217000
115,7259,2,1945,3,1,2320,2,9,180,259500
116,3230,2,1999,3,2,1458,3,5,440,176000
117,11616,1,1962,3,3,1092,3,6,288,139000
118,8536,1,2006,3,2,1125,3,5,430,155000
119,12376,2,1990,3,2,3222,2,11,594,320000
120,8461,2,2005,2,1,1456,2,8,390,163990
121,21453,2,1969,3,1,988,3,4,540,180000
122,6060,1,1939,3,2,1123,3,4,264,100000
123,9464,2,1958,3,2,1080,3,5,288,136000
124,7892,2,1993,2,1,1199,2,5,530,153900
125,17043,2,1979,3,3,1586,3,7,435,181000
126,6780,2,1935,3,2,754,3,5,0,84500
127,4928,2,1976,3,3,958,3,5,440,128000
128,4388,1,1930,3,1,840,3,5,0,87000
129,7590,2,1966,3,3,1348,3,6,453,155000
130,8973,1,1958,3,3,1053,1,6,750,150000
131,14200,2,1966,3,1,2157,2,8,487,226000
132,12224,2,2000,2,1,2054,2,7,390,244000
133,7388,1,1959,3,2,1327,2,7,624,150750
134,6853,2,2001,2,1,1296,2,6,471,220000
135,10335,1,1968,3,2,1721,3,7,440,180000
136,10400,2,1970,3,2,1682,3,7,530,174000
137,10355,1,1967,3,3,1214,3,5,318,143000
138,11070,2,1988,3,2,1959,3,9,766,171000
139,9066,2,1999,2,1,1852,2,7,660,230000
140,15426,2,1997,3,1,1764,2,7,470,231500
141,10500,1,1971,3,3,864,3,5,0,115000
142,11645,2,2005,2,1,1734,2,7,660,260000
143,8520,1,1952,3,4,1385,3,6,720,166000
144,10335,2,1999,2,1,1501,2,6,577,204000
145,9100,1,1963,3,3,1728,3,10,504,125000
146,2522,2,2004,2,1,1709,2,7,380,130000
147,6120,1,1931,3,3,875,3,5,180,105000
148,9505,2,2001,2,1,2035,2,8,434,222500
149,7500,2,2004,3,1,1080,2,6,0,141000
150,6240,1,1936,3,2,1344,3,7,240,115000
151,10356,1,1975,3,3,969,3,5,440,122000
152,13891,2,2007,2,1,1710,2,6,866,372402
153,14803,2,1971,3,2,1993,3,8,495,190000
154,13500,2,1960,3,2,1252,3,4,564,235000
155,11340,2,1923,3,3,1200,3,7,312,125000
156,9600,2,1924,3,4,1096,3,5,0,79000
157,7200,1,1950,3,3,1040,3,5,625,109500
158,12003,2,2009,2,1,1968,1,8,680,269500
159,12552,2,2004,2,1,1947,2,8,678,254900
160,19378,2,2005,2,1,2462,2,9,576,320000
161,11120,2,1984,3,3,1232,3,6,516,162500
162,13688,2,2003,2,1,2668,1,10,726,412500
163,12182,2,2005,2,1,1541,2,7,532,220000
164,5500,1,1956,3,1,882,3,4,0,103200
165,5400,2,1926,3,2,1616,2,5,216,152000
166,10106,1,1940,3,2,1355,3,6,0,127500
167,10708,1,1955,2,1,1867,3,7,303,190000
168,10562,2,2007,2,1,2161,1,8,789,325624
169,8244,2,2004,2,1,1720,2,7,440,183500
170,16669,2,1981,2,3,1707,3,6,511,228000
171,12358,1,1941,3,3,1382,3,7,660,128500
172,31770,2,1960,3,4,1656,3,7,528,215000
173,5306,2,1987,2,2,1767,2,5,504,239000
174,10197,2,1961,3,3,1362,3,6,504,163000
175,12416,2,1986,3,3,1651,3,7,616,184000
176,12615,2,1950,3,3,2158,2,7,576,243000
177,10029,2,1988,2,3,2060,3,8,521,211000
178,13650,1,1958,2,1,1920,2,8,451,172500
179,17423,2,2008,1,1,2234,1,9,1166,501837
180,8520,1,1923,2,3,968,3,5,480,100000
181,2117,2,2000,2,1,1525,2,5,440,177000
182,7588,2,1920,3,2,1802,3,9,216,200100
183,9060,1,1957,3,1,1340,3,7,252,120000
184,11426,2,2003,3,1,2082,2,6,484,200000
185,7438,1,1908,3,2,1252,3,5,576,127000
186,22950,2,1892,2,1,3608,1,12,840,475000
187,9947,2,1990,3,1,1217,2,6,497,173000
188,10410,1,1916,3,1,1656,3,8,180,135000
189,7018,1,1979,3,3,1224,3,6,528,153337
190,4923,2,2001,2,1,1593,1,5,682,286000
191,10570,2,1932,2,3,2727,2,10,440,315000
192,7472,2,1972,3,2,1479,2,7,484,184000
193,9017,2,1999,2,1,1431,2,6,666,192000
194,2522,2,2004,2,1,1709,2,7,380,130000
195,7180,1,1972,3,3,864,3,5,352,127000
196,2280,2,1976,3,3,1456,3,7,440,148500
197,9416,2,2007,1,1,1726,1,8,786,311872
198,25419,2,1918,2,2,3112,2,8,795,235000
199,5520,2,1912,3,1,2229,3,8,0,104000
200,9591,2,2004,2,1,1713,1,7,856,274900
201,8546,1,2003,3,1,1121,3,5,440,140000
202,10125,2,1977,3,3,1279,3,6,473,171500
203,7000,2,1924,3,2,1310,3,6,398,112000
204,4438,2,2004,2,1,848,2,3,420,149000
205,3500,1,1947,3,3,1284,3,5,240,110000
206,11851,2,1990,3,1,1442,3,5,500,180500
207,13673,1,1962,3,3,1696,3,8,349,143900
208,12493,1,1960,3,3,1100,3,6,312,141000
209,14364,2,1988,2,1,2062,3,7,454,277000
210,8250,2,1964,3,1,1092,3,6,504,145000
211,5604,1,1925,3,3,864,3,5,0,98000
212,10420,2,2009,3,1,1212,2,6,460,186000
213,8640,2,2009,3,1,1852,2,7,644,252678
214,13568,1,1995,3,1,990,3,5,576,156000
215,10900,2,1977,3,1,1392,3,6,299,161750
216,10011,1,1957,3,3,1236,2,6,447,134450
217,8450,2,2004,2,1,1436,2,8,484,210000
218,9906,1,1925,3,4,1328,3,8,210,107000
219,15660,2,1939,2,1,1954,2,8,431,311500
220,3010,2,2005,2,1,1248,2,5,438,167240
221,8990,2,2006,2,1,1498,2,5,675,204900
222,8068,2,2002,2,1,2267,2,8,390,200000
223,11475,2,1975,3,3,1552,3,6,434,179900
224,10500,1,1971,3,2,864,3,4,576,97000
225,13472,2,2003,1,1,2392,1,8,968,386250
226,1680,1,1971,3,3,1302,3,6,280,112000
227,9950,2,1995,2,1,2520,2,9,721,290000
228,1869,2,1970,3,3,987,3,5,280,106000
229,8521,1,1967,3,3,912,3,5,336,125000
230,3182,2,2005,2,1,1555,2,7,430,192500
231,8760,2,1959,3,3,1194,3,6,312,148000
232,15138,2,1995,2,1,2794,1,9,810,403000
233,1680,2,1972,3,3,987,3,5,288,94500
234,10650,1,1976,3,3,894,3,5,308,128200
235,7851,2,2002,2,1,1960,2,8,440,216500
236,1680,2,1971,3,3,987,3,5,264,89500
237,8773,2,2004,2,1,1414,2,6,494,185500
238,9453,2,1993,2,1,1744,2,7,457,194500
239,12030,2,2007,1,1,1694,2,7,818,318000
240,8741,2,1945,3,3,1487,3,7,220,113000
241,9000,2,2008,2,1,1566,2,7,750,262500
242,3880,1,1945,3,2,866,2,4,0,110500
243,5000,1,1900,3,2,1440,3,6,352,79000
244,10762,2,1980,3,3,1217,3,6,288,120000
245,8880,2,1994,2,1,2110,2,8,463,205000
246,10400,2,1988,3,2,1872,3,6,604,241500
247,9142,2,1910,3,2,1928,4,9,440,137000
248,11310,2,1954,3,1,1375,3,5,451,140000
249,11317,2,2003,2,1,1668,2,8,500,180000
250,159000,2,1958,2,2,2144,2,7,389,277000
251,5350,1,1940,3,1,1306,4,6,0,76500
252,4750,2,2006,2,1,1625,2,5,538,235000
253,8366,2,2004,2,1,1640,2,6,520,173000
254,9350,2,1964,3,1,1302,2,7,309,158000
255,8400,1,1957,3,3,1314,3,5,294,145000
256,8738,2,1999,2,1,2291,2,8,429,230000
257,8791,2,2003,2,1,1728,2,7,673,207500
258,8814,2,2006,2,1,1604,2,8,660,220000
259,12435,2,2001,2,1,1792,2,7,564,231500
260,12702,1,1956,3,2,882,3,4,308,97000
261,19296,2,1962,3,3,1382,3,6,884,176000
262,9588,2,2007,2,1,2574,1,10,868,276000
263,8471,2,1977,3,3,1212,3,6,492,151000
264,5500,1,1929,3,3,1316,3,6,484,130000
265,5232,1,1925,3,2,764,3,4,504,73000
266,12090,2,1981,3,3,1422,2,7,576,175500
267,11207,2,1997,3,2,1511,3,8,413,185000
268,8400,1,1939,3,1,2192,2,8,240,179500
269,6900,1,1940,3,1,778,3,4,924,120500
270,7917,2,1976,3,3,1113,3,6,504,148000
271,10728,2,2006,2,2,1939,2,8,1053,266000
272,39104,2,1954,3,1,1363,3,5,439,241500
273,11764,2,1999,2,1,2270,2,9,671,290000
274,9600,2,1958,3,2,1632,3,6,338,139000
275,8314,1,1982,3,3,816,3,5,264,124500
276,7264,2,1925,2,2,1548,1,5,672,205000
277,9196,2,2003,2,1,1560,2,7,573,201000
278,19138,1,1951,3,1,864,3,4,400,141000
279,14450,2,2006,1,1,2121,1,8,732,415298
280,10005,2,1977,3,1,2022,3,8,505,192000
281,11287,2,1989,2,2,1982,2,7,575,228500
282,7200,2,2006,2,2,1262,2,5,572,185000
283,5063,2,2007,2,1,1314,2,6,626,207500
284,9612,2,2008,2,1,1468,2,6,898,244600
285,8012,2,1992,2,2,1575,2,5,529,179200
286,4251,2,2006,2,1,1250,2,5,528,164700
287,9786,2,1962,3,3,1734,2,7,440,159000
288,8125,1,1971,3,3,858,3,5,0,88000
289,9819,1,1967,3,3,900,3,5,280,122000
290,8730,2,1915,3,1,1396,3,7,384,153575
291,15611,2,2006,2,1,1919,2,8,685,233230
292,5687,1,1912,3,1,1716,4,9,0,135900
293,11409,1,1949,3,2,1716,3,8,281,131000
294,16659,2,1977,3,4,2263,2,9,539,235000
295,9600,2,1953,3,3,1644,3,7,418,167000
296,7937,2,1984,3,3,1003,3,6,588,142500
297,13710,1,1950,3,3,1558,3,6,282,152000
298,7399,2,1997,2,1,1950,2,7,576,239000
299,11700,2,1968,2,2,1743,3,7,539,175000
300,14000,2,1950,3,1,1152,2,6,300,158500
301,15750,1,1953,3,3,1336,3,5,375,157000
302,16226,2,1998,2,1,2452,2,9,683,267000
303,13704,2,2001,2,1,1541,2,6,843,205000
304,9800,1,1972,3,3,894,3,5,552,149900
305,18386,2,1880,3,1,3493,2,10,870,295000
306,10386,2,2004,2,1,2000,2,8,888,305900
307,13474,2,1990,2,2,2243,2,8,746,225000
308,7920,2,1920,3,3,1406,4,6,0,89500
309,12342,1,1940,3,1,861,3,4,539,82500
310,12378,2,2003,2,1,1944,1,8,708,360000
311,7685,2,1993,3,2,1501,2,6,420,165600
312,8000,2,1948,3,1,972,3,5,240,132000
313,7800,1,1939,3,3,1118,3,5,410,119900
314,215245,2,1965,3,3,2036,3,8,513,375000
315,9600,2,1925,3,1,1641,1,6,546,178000
316,7795,2,2004,2,1,1432,2,6,432,188500
317,13005,2,1980,2,3,2353,1,10,484,260000
318,9000,2,2006,2,1,1959,2,8,1025,270000
319,9900,2,1993,2,1,2646,2,9,656,260000
320,14115,2,1980,3,3,1472,3,6,588,187500
321,16259,2,2006,3,1,2596,2,9,840,342643
322,12099,2,2004,2,1,2468,2,10,872,354000
323,10380,2,1986,2,1,2730,2,8,576,301000
324,5820,1,1955,3,1,1163,3,6,220,126175
325,11275,2,1967,2,1,2978,2,11,564,242000
326,5000,1,1941,3,5,803,3,5,360,87000
327,10846,2,1993,2,1,1719,2,6,473,324000
328,11600,2,1960,3,3,1383,3,7,292,145250
329,11888,2,1916,3,2,2134,2,10,441,214500
330,6402,1,1920,3,3,1192,3,6,189,78000
331,10624,1,1964,3,3,1728,3,10,352,119000
332,8176,1,1958,3,4,1056,3,6,308,139000
333,10655,2,2003,2,1,1629,2,7,880,284000
334,8198,2,2004,2,1,1358,2,6,484,207000
335,9042,2,1998,3,2,1638,3,7,472,192000
336,164660,1,1965,3,1,1786,3,7,529,228950
337,14157,2,2005,2,1,1922,2,8,676,377426
338,9135,2,2002,2,1,1536,2,7,532,214000
339,14145,2,1984,2,1,1621,2,8,440,202500
340,12400,2,1958,3,3,1215,3,6,297,155000
341,14191,2,2002,2,1,1908,2,9,431,202900
342,8400,1,1950,4,2,841,3,4,294,82000
343,8544,1,1949,3,4,1040,3,6,400,87500
344,8849,2,2005,1,1,1684,1,6,564,266000
345,2592,1,1976,3,3,1112,3,4,336,85000
346,6435,2,1939,3,2,1577,4,6,312,140200
347,12772,2,1960,3,3,958,3,5,301,151500
348,17600,2,1960,3,1,1478,3,6,498,157500
349,2448,2,2003,2,1,1626,2,6,474,154000
350,20431,2,2005,1,1,2728,1,10,706,437154
351,7820,2,2007,1,1,1869,1,6,617,318061
352,5271,2,1986,3,2,1453,2,6,445,190000
353,9084,1,1941,3,3,1111,3,5,200,95000
354,8520,2,1928,3,2,720,3,5,484,105900
355,8400,2,1940,3,1,1595,3,6,240,140000
356,11249,2,1995,2,1,1200,2,6,521,177500
357,9248,2,1992,3,2,1167,2,6,400,173000
358,4224,1,1976,3,3,1142,3,6,528,134000
359,6930,1,1958,3,1,1352,2,6,288,130000
360,12011,2,1998,2,1,1924,2,7,592,280000
361,7540,2,1978,3,1,912,3,5,470,156000
362,9144,1,1940,3,2,1505,3,8,240,145000
363,7301,2,2003,2,1,1922,2,7,672,198500
364,1680,2,1972,3,2,987,2,5,264,118000
365,18800,2,1976,3,3,1574,3,6,566,190000
366,10690,1,1920,3,2,1344,3,6,468,147000
367,9500,2,1963,3,2,1394,3,6,514,159000
368,9150,2,1962,3,2,1431,3,6,296,165000
369,7800,1,1954,3,2,1268,3,7,244,132000
370,9830,1,1959,3,1,1287,2,7,576,162000
371,8121,2,2000,3,1,1664,3,7,460,172400
372,17120,1,1959,3,3,1588,3,7,680,134432
373,7175,2,1984,3,3,752,3,4,264,125000
374,10634,1,1953,3,3,1319,3,5,270,123000
375,8200,2,2003,2,1,1928,2,8,434,219500
376,10020,1,1922,4,2,904,4,4,0,61000
377,8846,1,1996,2,1,914,3,5,576,148000
378,11143,2,2004,2,1,2466,2,8,610,340000
379,11394,2,2010,2,1,1856,1,8,834,394432
380,8123,2,2000,3,1,1800,3,7,463,179000
381,5000,1,1924,3,3,1691,2,6,308,127000
382,7200,2,2006,2,1,1301,2,5,572,187750
383,9245,2,2006,2,1,1797,2,8,639,213500
384,9000,2,1928,3,3,784,3,5,360,76000
385,53107,2,1992,2,1,1953,2,9,501,240000
386,3182,2,2004,2,1,1269,2,6,430,192000
387,8410,1,1910,3,3,1184,3,8,0,81000
388,7200,2,1976,3,1,1125,3,6,352,125000
389,9382,2,1999,2,1,1479,2,6,577,191000
390,12474,2,2007,1,1,2332,1,9,846,426000
391,8405,1,1900,3,1,1367,3,7,384,119000
392,12209,2,2001,3,1,1961,2,7,560,215000
393,8339,1,1959,3,3,882,3,5,294,106500
394,7446,1,1941,3,3,788,3,4,0,100000
395,10134,1,1940,3,2,1034,3,5,240,109000
396,9571,1,1956,3,3,1144,3,6,596,129000
397,7200,1,1972,3,3,894,3,6,600,123000
398,7590,1,1962,3,3,1812,3,8,264,169500
399,8967,1,1920,3,2,1077,3,6,338,67000
400,8125,2,2006,2,1,1550,2,7,438,241000
401,14963,2,1996,2,1,1288,1,4,500,245500
402,8767,2,2005,2,1,1310,2,6,400,164990
403,10200,1,1940,3,1,672,3,4,240,108000
404,12090,2,1998,2,2,2263,2,10,420,258000
405,10364,2,1995,3,2,1572,3,7,373,168000
406,9991,1,1976,3,1,1620,3,8,490,150000
407,10480,2,1936,3,1,1639,3,6,240,115000
408,15576,2,1915,3,1,1680,3,8,308,177000
409,14154,2,2006,2,1,2172,2,9,947,280000
410,10800,2,2007,2,1,2078,1,8,836,339750
411,9571,1,1958,3,3,1276,3,5,350,60000
412,34650,1,1955,3,3,1056,3,5,572,145000
413,4403,2,2009,1,1,1478,2,7,484,222000
414,8960,1,1927,3,2,1028,3,5,360,115000
415,11228,2,1993,2,1,2097,2,9,678,228000
416,8899,2,2007,2,1,1340,2,6,396,181134
417,7844,2,1978,3,3,1400,3,6,440,149500
418,22420,2,1918,3,3,2624,3,10,864,239000
419,8160,1,1940,3,4,1134,3,7,240,126000
420,8450,1,1968,3,1,1056,3,6,304,142000
421,7060,2,1997,3,1,1344,3,8,784,206300
422,16635,2,1977,2,2,1602,2,8,529,215000
423,21750,1,1954,3,1,988,3,4,520,113000
424,9200,2,1998,2,2,2630,2,8,696,315000
425,9000,2,1956,3,2,1196,3,6,297,139000
426,3378,2,1946,3,2,1389,3,6,240,135000
427,12800,2,1989,2,2,1644,2,5,569,275000
428,8593,1,1957,3,1,907,3,5,352,109008
429,6762,2,2007,2,1,1208,2,6,628,195400
430,11457,2,1988,3,3,1412,2,6,576,175000
431,1680,2,1971,3,3,987,3,4,264,85400
432,5586,2,1920,3,2,1198,3,7,0,79900
433,1920,1,1971,3,1,1365,3,6,440,122500
434,10839,2,1997,3,1,1604,3,7,470,181000
435,1890,1,1972,3,2,630,3,3,0,81000
436,10667,2,1996,2,1,1661,2,6,550,212000
437,4400,2,1920,3,3,1118,3,6,440,116000
438,6000,2,1926,2,2,904,3,4,180,119000
439,4280,1,1913,3,3,694,2,4,352,90350
440,12354,2,1920,3,2,1196,2,7,528,110000
441,15431,2,2008,1,1,2402,1,10,672,555000
442,12108,1,1955,3,3,1440,4,8,0,118000
443,6240,1,1930,3,3,1573,3,8,360,162900
444,3922,2,2006,2,1,1258,2,6,648,172500
445,8750,2,1994,2,1,1908,2,8,493,210000
446,9855,2,1956,3,4,1689,3,7,480,127500
447,16492,2,1966,2,1,1888,2,6,578,190000
448,11214,2,1998,2,2,1886,2,10,431,199900
449,8600,2,1937,3,3,1376,3,7,198,119500
450,6000,1,1948,3,1,1183,3,6,308,120000
451,5684,2,1930,3,1,813,2,5,270,110000
452,70761,2,1975,3,3,1533,2,5,576,280000
453,9303,2,1996,2,1,1756,3,7,422,204000
454,9000,2,2008,2,1,1590,2,6,676,210000
455,9297,1,1976,3,3,1728,3,8,560,188000
456,9600,2,1973,3,4,1242,3,6,528,175500
457,4571,1,1916,3,4,1344,3,7,513,98000
458,53227,1,1954,3,1,1663,2,6,529,256000
459,5100,2,1925,3,4,1666,2,7,228,161000
460,7015,1,1950,3,3,1203,2,5,352,110000
461,8004,2,2009,2,1,1935,3,8,552,263435
462,7200,2,1936,2,1,1135,2,6,576,155000
463,8281,1,1965,3,2,864,3,5,360,62383
464,11988,2,1934,3,4,1660,3,6,240,188700
465,8430,1,1978,3,3,1040,3,5,0,124000
466,3072,2,2004,2,1,1414,2,6,398,178740
467,10628,2,1970,3,3,1277,3,5,526,167000
468,9480,1,1942,3,1,1644,2,7,312,146500
469,11428,2,2006,2,1,1634,2,7,866,250000
470,9291,2,1993,2,1,1710,2,7,506,187000
471,6820,2,1985,2,3,1502,2,4,528,212000
472,11952,2,1977,3,3,1969,3,8,534,190000
473,3675,2,2005,3,1,1072,3,5,525,148000
474,14977,2,2006,2,1,1976,2,7,908,440000
475,5330,2,2000,2,1,1652,1,6,499,251000
476,8480,1,1963,3,3,970,3,5,624,132500
477,13125,2,1997,3,1,1493,2,7,508,208900
478,13693,2,2006,1,1,2643,1,9,694,380000
479,10637,2,2007,2,1,1718,2,7,826,297000
480,5925,1,1937,3,3,1131,3,7,672,89471
481,16033,2,2004,2,1,1850,2,8,772,326000
482,11846,2,2003,2,1,1792,1,6,874,374000
483,2500,2,1915,2,1,1826,1,7,164,155000
484,4500,2,1998,3,1,1216,3,5,402,164000
485,7758,1,1962,3,2,999,2,6,264,132500
486,9600,1,1950,2,2,1113,2,5,264,147000
487,10289,1,1965,3,3,1073,3,6,515,156000
488,12243,1,1971,3,2,1484,3,7,487,175000
489,10800,1,1900,3,3,2414,3,10,520,160000
490,1526,1,1970,3,3,630,2,3,286,86000
